역코드,역종류,역명,승무소속(주),승무소속(부), 상_하행별 정보(km),상행키로,하행키로,정차시간,상행시간,하행시간,회차여부,표준구배(오르막),표준구배(내리막),최고속도(상행),최고속도(하행),평균속도,회차키로,측선여부,승무교대여부,가동여부
216,일반역,문양,문양승무팀,문양승무팀,0.27,0,2.9,00:00:00,00:00:00,00:03:25,Y,0,22.3,80,80,50.9,0.7,N,Y,Y
217,일반역,다사,문양승무팀,문양승무팀,3.16,2.9,1,00:00:25,00:03:25,00:01:35,Y,0,20,75,75,37.9,0,Y,Y,Y
218,일반역,대실,문양승무팀,문양승무팀,4.2,1,1.4,00:00:25,00:01:35,00:01:40,N,5.7,0,70,70,50.4,0,N,N,Y
219,일반역,강창,문양승무팀,문양승무팀,5.53,1.4,1.2,00:00:25,00:01:40,00:01:35,N,0,5.2,80,80,45.5,0,N,N,Y
220,일반역,계명대,문양승무팀,문양승무팀,6.76,1.2,1.3,00:00:25,00:01:35,00:01:40,N,8.5,0,80,80,46.8,0,N,N,Y
221,일반역,성서산단,문양승무팀,문양승무팀,8.05,1.3,0.8,00:00:25,00:01:40,00:01:15,N,3,0,80,80,38.4,0,N,N,Y
222,일반역,이곡,문양승무팀,문양승무팀,8.91,0.8,1.3,00:00:25,00:01:15,00:01:50,N,0,4.1,60,55,42.5,0,Y,Y,Y
223,일반역,용산,문양승무팀,문양승무팀,10.12,1.3,0.9,00:00:25,00:01:50,00:01:20,N,2.2,0,80,80,40.5,0,N,N,Y
224,일반역,죽전,문양승무팀,문양승무팀,11.04,0.9,0.9,00:00:25,00:01:20,00:01:20,N,3,0,80,80,40.5,0,N,N,Y
225,일반역,감삼,문양승무팀,문양승무팀,11.93,0.9,0.8,00:00:25,00:01:20,00:01:20,N,5.3,0,80,80,36,0,N,N,Y
226,일반역,두류,문양승무팀,문양승무팀,12.8,0.8,0.9,00:00:25,00:01:20,00:01:15,N,6.1,0,80,80,43.2,0,N,N,Y
227,일반역,내당,문양승무팀,문양승무팀,13.63,0.9,0.8,00:00:25,00:01:15,00:01:15,N,4,0,80,80,38.4,0,N,N,Y
228,일반역,반고개,문양승무팀,문양승무팀,14.46,0.8,0.9,00:00:25,00:01:15,00:01:20,N,0,4.5,80,80,40.5,0,N,N,Y
229,일반역,청라언덕2,문양승무팀,문양승무팀,15.4,0.9,1,00:00:25,00:01:20,00:01:30,N,2.5,0,80,80,40,0,N,Y,Y
230,일반역,반월당2,문양승무팀,문양승무팀,16.35,1,0.9,00:00:25,00:01:30,00:01:25,N,4.9,0,60,60,38.1,0,N,Y,Y
231,일반역,경대병원,경산승무팀,경산승무팀,17.27,0.9,1.1,00:00:25,00:01:25,00:01:40,N,3.4,0,80,80,39.6,0,N,N,Y
232,일반역,대구은행,경산승무팀,경산승무팀,18.38,1.1,1,00:00:25,00:01:40,00:01:25,N,0,2.4,80,80,42.4,0,N,N,Y
233,일반역,범어,경산승무팀,경산승무팀,19.35,1,0.9,00:00:25,00:01:25,00:01:20,N,7.5,0,80,80,40.5,0,N,N,Y
234,일반역,수성구청,경산승무팀,경산승무팀,20.26,0.9,0.9,00:00:25,00:01:20,00:01:20,N,4.7,0,80,80,40.5,0,Y,Y,Y
235,일반역,만촌,경산승무팀,경산승무팀,21.13,0.9,0.9,00:00:25,00:01:20,00:01:25,N,12.5,0,70,70,38.1,0,N,N,Y
236,일반역,담티,경산승무팀,경산승무팀,22.1,0.9,1.8,00:00:25,00:01:25,00:02:05,N,0,17,80,80,51.8,0,N,N,Y
237,일반역,연호,경산승무팀,경산승무팀,23.88,1.8,1,00:00:25,00:02:05,00:01:20,N,0,0,80,80,45,0,N,N,Y
238,일반역,수성알파시티,경산승무팀,경산승무팀,24.83,1,1.2,00:00:25,00:01:20,00:01:40,N,7.6,0,80,80,43.2,0,N,Y,Y
239,일반역,고산,경산승무팀,경산승무팀,26.03,1.2,1.1,00:00:25,00:01:40,00:01:30,N,0,2.8,80,80,44,0,N,N,Y
240,일반역,신매,경산승무팀,경산승무팀,27.18,1.1,1.1,00:00:25,00:01:30,00:01:30,N,0,2.5,80,80,44,0,N,N,Y
241,일반역,사월,경산승무팀,경산승무팀,28.28,1.1,1.2,00:00:25,00:01:30,00:01:35,Y,0,0,80,80,45.5,0.8,Y,Y,Y
242,일반역,정평,경산승무팀,경산승무팀,29.432,1.2,1.1,00:00:25,00:01:35,00:01:30,N,0,0,80,80,44,0,N,N,Y
243,일반역,임당,경산승무팀,경산승무팀,30.53,1.1,1.1,00:00:25,00:01:30,00:01:40,N,0,0,80,80,39.6,0,N,N,Y
244,일반역,영남대,경산승무팀,경산승무팀,31.655,1.1,0,00:00:00,00:01:40,00:00:00,Y,0,0,0,0,0,0.45,Y,Y,Y
